GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
groucho-sonar/groucho-core,it.cnr.iasi.saks.groucho,App,7,0,0,0,3,0,2,0,2,0
groucho-sonar/groucho-core,it.cnr.iasi.saks.groucho.isolation,RuntimeEnvironmentShield,72,14,6,2,17,7,4,4,0,4
groucho-sonar/groucho-core,it.cnr.iasi.saks.groucho.callback,SmarterGovernanceManager,51,0,0,0,17,0,5,0,5,0
groucho-sonar/groucho-core,it.cnr.iasi.saks.groucho.callback,AbstractGovernanceManager,96,320,9,15,19,84,10,16,2,12
groucho-sonar/groucho-core,it.cnr.iasi.saks.groucho.callback,AbstractGovernanceManagerConLock,190,0,14,0,65,0,18,0,11,0
groucho-sonar/groucho-core,it.cnr.iasi.saks.groucho.callback,GovernanceManagerFactory,20,31,3,3,6,12,2,6,0,5
groucho-sonar/groucho-core,it.cnr.iasi.saks.groucho.callback,SimpleGovernanceManager,177,11,17,1,57,5,14,3,1,3
groucho-sonar/groucho-core,it.cnr.iasi.saks.groucho.common,InVivoTestingSession,27,32,7,3,6,12,8,5,3,4
groucho-sonar/groucho-core,it.cnr.iasi.saks.groucho.common,Context,87,0,0,0,26,0,13,0,13,0
groucho-sonar/groucho-core,it.cnr.iasi.saks.groucho.common,InVivoTestingSessionStates,0,34,0,0,0,2,0,1,0,1
groucho-sonar/groucho-core,it.cnr.iasi.saks.groucho.common,StateCarver,448,0,58,0,102,0,38,0,9,0
groucho-sonar/groucho-core,it.cnr.iasi.saks.groucho.common,InterfacesMapStore,24,101,2,12,4,27,3,13,2,7
groucho-sonar/groucho-core,it.cnr.iasi.saks.groucho.instrument,ThreadHarnessCallbackInvoker,6,19,0,0,3,10,1,3,1,3
groucho-sonar/groucho-core,it.cnr.iasi.saks.groucho.instrument,TestableInVivoAnnotationVisitor,50,0,2,0,11,0,4,0,3,0
groucho-sonar/groucho-core,it.cnr.iasi.saks.groucho.instrument,CrochetMethodVisitor,222,0,6,0,48,0,10,0,7,0
groucho-sonar/groucho-core,it.cnr.iasi.saks.groucho.instrument,ThreadHarnessRunMethodVisitor,110,0,10,0,33,0,12,0,7,0
groucho-sonar/groucho-core,it.cnr.iasi.saks.groucho.instrument,GrouchoClassTransformer,164,0,40,0,32,0,25,0,5,0
groucho-sonar/groucho-core,it.cnr.iasi.saks.groucho.instrument,Foo,149,0,10,0,35,0,9,0,4,0
groucho-sonar/groucho-core,it.cnr.iasi.saks.groucho.instrument,Premain,19,0,0,0,7,0,3,0,3,0
groucho-sonar/groucho-core,it.cnr.iasi.saks.groucho.instrument,Instrumenter,44,0,0,0,17,0,4,0,4,0
groucho-sonar/groucho-core,it.cnr.iasi.saks.groucho.instrument,ThreadHarnessConstructorsMethodVisitor,78,0,2,0,25,0,6,0,5,0
groucho-sonar/groucho-core,it.cnr.iasi.saks.groucho.instrument,PrintMessageMethodVisitor,174,0,8,0,38,0,14,0,10,0
groucho-sonar/groucho-core,it.cnr.iasi.saks.groucho.instrument,GrouchoClassVisitor,151,202,9,19,30,46,11,15,6,6
groucho-sonar/groucho-core,it.cnr.iasi.saks.groucho.config,PropertyUtil,78,30,10,2,17,11,9,4,3,4
groucho-sonar/lsh-invivo,it.cnr.iasi.saks.groucho.lsh.jython,Foo,3,0,0,0,1,0,1,0,1,0
groucho-sonar/lsh-invivo,it.cnr.iasi.saks.groucho.lsh.exceptions,LSHException,13,0,0,0,6,0,3,0,3,0
groucho-sonar/lsh-invivo,it.cnr.iasi.saks.groucho.lsh.jep,FooJep,78,0,2,0,21,0,5,0,4,0
groucho-sonar/lsh-invivo,it.cnr.iasi.saks.groucho.lsh.jep,LSHInvivoJep,271,0,10,0,68,0,14,0,9,0
groucho-sonar/groucho-lsh-rest,it.cnr.iasi.saks.groucho,FooAppRest,7,0,0,0,3,0,2,0,2,0
